seed,is_homogeneous,found_breaking_subgroup,subgroups_checked,runtime_sec,valid_rules_count,total_rules_count,pruned_rules_count,rounds_executed,unique_rules_selected,breaking_rule_index,max_rule_pick_count,sweep,exploration_prob,alpha,eta,epsilon
0,True,0,250,1.5248649580171332,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
1,True,0,261,1.5581438750959933,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
2,True,0,274,1.6884332920890301,10,10,0,10,3,,8,baseline,0.1,0.5,0.01,520000.0
3,True,0,261,1.5373892500065267,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
4,True,0,275,1.5945697500137612,10,10,0,10,3,,8,baseline,0.1,0.5,0.01,520000.0
5,True,0,273,1.573980792076327,10,10,0,10,3,,8,baseline,0.1,0.5,0.01,520000.0
6,True,0,266,1.5552537079202011,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
7,True,0,308,1.8235993339912966,10,10,0,10,5,,5,baseline,0.1,0.5,0.01,520000.0
8,True,0,267,1.56094466696959,10,10,0,10,3,,8,baseline,0.1,0.5,0.01,520000.0
9,True,0,259,1.6285894169704989,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
10,True,0,250,1.3512546659912914,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
11,True,0,250,1.418701249989681,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
12,True,0,259,1.657164957956411,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
13,True,0,250,1.5102531670127064,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
14,True,0,250,1.5868013340514153,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
15,True,0,277,1.6037117909872904,10,10,0,10,3,,8,baseline,0.1,0.5,0.01,520000.0
16,True,0,250,1.6166637500282377,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
17,True,0,266,1.7463123749475926,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
18,True,0,250,1.5285383749287575,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
19,True,0,250,1.5622519589960575,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
20,True,0,250,1.744075124966912,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
21,True,0,250,1.734820417012088,10,10,0,10,1,,10,baseline,0.1,0.5,0.01,520000.0
22,True,0,257,1.6903894579736516,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
23,True,0,282,1.6851624170085415,10,10,0,10,2,,8,baseline,0.1,0.5,0.01,520000.0
24,True,0,266,1.6216273750178516,10,10,0,10,2,,9,baseline,0.1,0.5,0.01,520000.0
0,True,0,250,1.7162505419692025,10,10,0,10,1,,10,exploration_prob,0.05,0.5,0.01,520000.0
1,True,0,266,1.6051812910009176,10,10,0,10,2,,9,exploration_prob,0.05,0.5,0.01,520000.0
2,True,0,250,1.621704209013842,10,10,0,10,1,,10,exploration_prob,0.05,0.5,0.01,520000.0
3,True,0,257,1.8194448340218514,10,10,0,10,2,,9,exploration_prob,0.05,0.5,0.01,520000.0
4,True,0,250,1.576604750007391,10,10,0,10,1,,10,exploration_prob,0.05,0.5,0.01,520000.0
5,True,0,257,1.5939917910145596,10,10,0,10,2,,9,exploration_prob,0.05,0.5,0.01,520000.0
6,True,0,266,1.5848992089740932,10,10,0,10,2,,9,exploration_prob,0.05,0.5,0.01,520000.0
