sweep,exploration_prob,alpha,eta,epsilon,runs,homogeneous_rate,breaking_found_rate,runtime_mean_sec,runtime_std_sec,subgroups_checked_mean,subgroups_checked_std,unique_rules_selected_mean,pruned_rules_count_mean,rounds_executed_mean
alpha,0.1,0.25,0.01,520000.0,25,1.0,0.0,3.5654215150233357,0.22806043665956996,360.6,3.9191835884530843,1.84,0.0,10.0
alpha,0.1,0.5,0.01,520000.0,25,1.0,0.0,3.72848640169017,0.5581941844159821,262.04,13.759302307893378,1.92,0.0,10.0
alpha,0.1,0.75,0.01,520000.0,25,1.0,0.0,3.346690015117638,0.24290110073309112,262.04,13.759302307893378,1.92,0.0,10.0
baseline,0.1,0.5,0.01,520000.0,25,1.0,0.0,1.6041398984007538,0.10257731234564378,262.04,13.759302307893378,1.92,0.0,10.0
epsilon,0.1,0.5,0.01,260000.0,25,1.0,0.0,3.2671419433830304,0.3566873669207208,262.04,13.759302307893378,1.92,0.0,10.0
epsilon,0.1,0.5,0.01,520000.0,25,1.0,0.0,3.0771461250726135,0.32422324448679496,262.04,13.759302307893378,1.92,0.0,10.0
epsilon,0.1,0.5,0.01,780000.0,25,1.0,0.0,3.22352632668335,0.2710822274231379,262.04,13.759302307893378,1.92,0.0,10.0
eta,0.1,0.5,0.001,520000.0,25,1.0,0.0,3.27299433819484,0.4338981743479407,262.04,13.759302307893378,1.92,0.0,10.0
eta,0.1,0.5,0.01,520000.0,25,1.0,0.0,3.1610398883698507,0.23743863025989792,262.04,13.759302307893378,1.92,0.0,10.0
eta,0.1,0.5,0.1,520000.0,25,1.0,0.0,3.074534353450872,0.1837203023968025,262.04,13.759302307893378,1.92,0.0,10.0
eta,0.1,0.5,1.0,520000.0,25,1.0,0.0,3.4817455316893757,0.460435621593359,262.04,13.759302307893378,1.92,0.0,10.0
exploration_prob,0.05,0.5,0.01,520000.0,25,1.0,0.0,1.6726933034509421,0.09564072015331558,255.2,7.445804187594516,1.44,0.0,10.0
exploration_prob,0.1,0.5,0.01,520000.0,25,1.0,0.0,2.7098692200612278,0.5483528800141602,262.04,13.759302307893378,1.92,0.0,10.0
exploration_prob,0.2,0.5,0.01,520000.0,25,1.0,0.0,2.835086624836549,0.1335570027385774,270.64,15.861601432390112,2.68,0.0,10.0
exploration_prob,0.3,0.5,0.01,520000.0,25,1.0,0.0,2.849710364965722,0.20209076321781017,282.92,16.082089416490636,3.6,0.0,10.0
